fire_id,date_start,date_end
2017_7155675_NW OKLAHOMA COMPLEX,2017-03-07 13:47:00,2017-03-10
2012_OR-VAD-000067_LONG DRAW,2012-07-08 18:04:00,2012-07-14
2008_TX-TXS-88071_GLASS FIRE,2008-02-25 12:20:00,2008-02-26
2015_2880290_SODA,2015-08-10 14:10:00,2015-08-16
2014_634805_BUZZARD COMPLEX,2014-07-14 07:53:00,2014-07-22
2017_7161319_PERRYTON,2017-03-06 15:49:00,2017-03-06
2018_9206799_MARTIN,2018-07-05 02:48:00,2018-07-09
2016_4258135_ANDERSON CREEK FIRE,2016-03-23 12:46:00,2016-03-23
2007_ID-TFD-002030_MURPHY COMPLEX,2007-07-16 18:12:00,2007-07-24
2007_UT-SWS-070312_MILFORD FLAT,2007-07-06 15:45:00,2007-07-12
