fire,trapezoid,midpoint,simpson
fire_2008_TX-TXS-88071_GLASS_FIRE,0.0,0.0,0.0
fire_2012_OR-VAD-000067_LONG_DRAW,0.0,0.0,0.0
fire_2018_9206799_MARTIN,0.0,0.0,0.0
fire_2007_UT-SWS-070312_MILFORD_FLAT,0.0,0.0,0.0
fire_2015_2880290_SODA,0.0,0.0,0.0
fire_2007_ID-TFD-002030_MURPHY_COMPLEX,0.0,0.0,0.0
fire_2017_7155675_NW_OKLAHOMA_COMPLEX,0.0,0.0,0.0
fire_2014_634805_BUZZARD_COMPLEX,0.0,0.0,0.0
fire_2008_TX-TXS-88071_GLASS_FIRE,0.0,0.0,0.0
fire_2012_OR-VAD-000067_LONG_DRAW,0.0,0.0,0.0
fire_2018_9206799_MARTIN,0.0,0.0,0.0
fire_2007_UT-SWS-070312_MILFORD_FLAT,0.0,0.0,0.0
fire_2015_2880290_SODA,0.0,0.0,0.0
fire_2007_ID-TFD-002030_MURPHY_COMPLEX,0.0,0.0,0.0
fire_2017_7155675_NW_OKLAHOMA_COMPLEX,0.0,0.0,0.0
fire_2014_634805_BUZZARD_COMPLEX,0.0,0.0,0.0
fire_2008_TX-TXS-88071_GLASS_FIRE,0.0,0.0,0.0
fire_2012_OR-VAD-000067_LONG_DRAW,0.0,0.0,0.0
fire_2018_9206799_MARTIN,0.0,0.0,0.0
fire_2007_UT-SWS-070312_MILFORD_FLAT,0.0,0.0,0.0
fire_2015_2880290_SODA,0.0,0.0,0.0
fire_2007_ID-TFD-002030_MURPHY_COMPLEX,0.0,0.0,0.0
fire_2017_7155675_NW_OKLAHOMA_COMPLEX,0.0,0.0,0.0
fire_2014_634805_BUZZARD_COMPLEX,0.0,0.0,0.0
fire_2008_TX-TXS-88071_GLASS_FIRE,0.0,0.0,0.0
fire_2012_OR-VAD-000067_LONG_DRAW,0.0,0.0,0.0
fire_2018_9206799_MARTIN,0.0,0.0,0.0
fire_2007_UT-SWS-070312_MILFORD_FLAT,0.0,0.0,0.0
fire_2015_2880290_SODA,0.0,0.0,0.0
fire_2007_ID-TFD-002030_MURPHY_COMPLEX,0.0,0.0,0.0
fire_2017_7155675_NW_OKLAHOMA_COMPLEX,0.0,0.0,0.0
fire_2014_634805_BUZZARD_COMPLEX,0.0,0.0,0.0
